date,gross_return,transaction_cost,net_return,turnover,gross_exposure,equity_curve
2023-07-31,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-02,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-03,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-04,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-07,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-08,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-09,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-10,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-11,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-14,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-15,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-16,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-17,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-18,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-21,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-22,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-23,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-24,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-25,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-28,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-29,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-30,0.0,0.0,0.0,0.0,0.0,1.0
2023-08-31,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-04,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-05,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-06,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-07,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-08,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-11,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-12,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-13,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-14,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-15,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-18,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-19,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-20,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-21,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-22,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-25,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-26,0.0,0.0,0.0,0.0,0.0,1.0
2023-09-27,0.0,0.0,0.0,0.0,0.0,1.0
